id,delinq_2yrs,earliest_cr_line,inq_last_6mths,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,Profit
262669,0,1985-03-01,0,0,0,9,11274.88,2170.43,10000,1274.88,0,0,2011-01-01,940.13,1274.88
296737,0,1991-10-01,0,84,0.01,18,11185.04,11185.04,10000,1185.04,0,0,2014-03-01,1279.88,1185.04
362148,0,1992-01-01,0,18917,0.332,18,11424.15,6278.39,10000,1424.15,0,0,2011-06-01,1891.69,1424.15
364755,0,2004-02-01,0,14411,0.209,12,11649.98,8009.55,10000,1649.98,0,0,2011-12-01,348.39,1649.98
371779,0,1984-07-01,0,10942,0.57,35,12322.38,8653.53,10000,2322.38,0,0,2012-01-01,354.86,2322.38
396913,0,1999-12-01,0,20344,0.86,15,12377.68,7065.8,10000,2377.68,0,0,2012-05-01,364.77,2377.68
405994,0,1997-12-01,0,25274,0.936,5,12656.53,3721.33,10000,2656.53,0,0,2012-06-01,369.55,2656.53
408965,0,1997-10-01,0,9956,0.271,31,11500.79,11213.27,10000,1500.79,0,0,2012-06-01,370.71,1500.79
409429,0,2000-09-01,0,8826,0.863,7,11769.43,3333.95,10000,1769.43,0,0,2011-02-01,5296.89,1769.43
423552,0,1977-07-01,0,144723,0.033,30,10503.53,10135.91,10000,503.53,0,0,2010-03-01,16.29,503.53
425618,0,2000-05-01,0,798,0.049,23,11500.79,10707.75,10000,1500.79,0,0,2012-07-01,355.1,1500.79
433717,0,1994-10-01,0,4650,0.141,23,11209.79,11209.79,10000,1209.79,0,0,2012-03-01,1850.07,1209.79
436709,0,2004-01-01,0,15575,0.973,11,12842.57,12810.47,10000,2842.57,0,0,2012-09-01,370.92,2842.57
439146,0,1984-12-01,0,89252,0.064,34,11238.91,11135.17,10000,1238.91,0,0,2012-09-01,317.83,1238.91
444435,0,1996-08-01,0,27495,0.982,16,12384.43,12353.47,10000,2384.43,0,0,2012-04-01,2354.62,2384.43
448453,0,2005-02-01,0,172,0.009,11,10827.73,10529.97,10000,827.73,0,0,2010-08-01,7876.79,827.73
456014,0,2001-10-01,0,10006,0.685,14,11957.75,11837.34,10000,1957.75,0,0,2012-09-01,27.04,1957.75
461505,0,1995-06-01,0,37334,0.554,17,11379.81,11379.81,10000,1379.81,0,0,2012-12-01,321.16,1379.81
465459,0,1995-12-01,0,15315,0.412,23,11318.26,10934.64,10000,1318.26,0,0,2012-05-01,2470.69,1318.26
473229,0,1994-12-01,0,3052,0.052,27,11239.5,11183.3,10000,1239.5,0,0,2013-01-01,317.67,1239.5
476975,0,2004-12-01,0,5029,0.585,18,12108.44,12108.44,10000,2108.44,0,0,2013-02-01,342.57,2108.44
478320,0,2001-05-01,0,9430,0.453,12,11724.07,11606.83,10000,1724.07,0,0,2012-08-01,1389.32,1724.07
480675,0,1998-06-01,0,9844,0.391,12,11561.68,11532.78,10000,1561.68,0,0,2012-06-01,2846.15,1561.68
481514,0,2000-05-01,0,10354,0.32,13,11659.19,11484.3,10000,1659.19,0,0,2013-02-01,375.31,1659.19
483065,0,2003-10-01,0,17187,0.491,10,11164.46,11164.46,10000,1164.46,0,0,2014-03-01,341.63,1164.46
486412,0,1995-12-01,0,46148,0.784,18,10944.37,10834.92,10000,944.37,0,0,2011-11-01,5047.19,944.37
486632,0,1999-08-01,0,12841,0.554,27,10967,10967,10000,967,0,0,2011-05-01,6790.16,967
486784,0,2003-03-01,0,6268,0.22,16,10808.79,9727.91,10000,808.79,0,0,2011-07-01,6155.5,808.79
492678,0,1999-09-01,0,0,0,32,11199.67,10079.7,10000,1199.67,0,0,2013-03-01,338.42,1199.67
494193,0,2000-02-01,0,9616,0.355,19,11261.53,10506.11,10000,1261.53,0,0,2013-04-01,325.52,1261.53
495575,0,2001-07-01,0,13328,0.987,12,12802.64,12802.64,10000,2802.64,0,0,2013-04-01,377.85,2802.64
500824,0,1997-02-01,0,49836,0.085,15,11138.66,9885.56,10000,1138.66,0,0,2013-05-01,322.84,1138.66
502132,0,2000-03-01,0,9652,0.402,11,11051.89,10913.74,10000,1051.89,0,0,2012-04-01,3920.76,1051.89
505023,0,1998-12-01,0,13667,0.833,6,12343.51,12343.51,10000,2343.51,0,0,2013-05-01,373.58,2343.51
508174,0,2003-04-01,0,3107,0.69,11,11782.08,11520.32,10000,1782.08,0,0,2013-04-01,687.6,1782.08
517765,0,2006-05-01,0,7859,0.836,6,12577.78,12577.78,10000,2577.78,0,0,2013-03-01,1400.06,2577.78
523767,0,1998-12-01,0,1790,0.06,13,13192.47,12946.47,10000,3192.47,0,0,2015-06-01,281.4,3192.47
524052,0,2003-09-01,0,4390,0.675,6,11934.37,11735.97,10000,1934.37,0,0,2013-06-01,371.35,1934.37
524664,0,1996-11-01,0,1828,0.102,15,11002.1,9799.47,10000,1002.1,0,0,2012-04-01,4496.75,1002.1
525230,0,2000-09-01,0,4337,0.166,37,11113.15,10736.97,10000,1113.16,0,0,2013-02-01,238.86,1113.16
531845,0,1986-05-01,0,10487,0.583,15,11743.86,11685.14,10000,1743.86,0,0,2013-07-01,351.27,1743.86
533221,0,1994-06-01,0,4055,0.541,10,11219.07,11097.28,10000,1219.07,0,0,2013-01-01,2159.51,1219.07
537651,0,2001-12-01,0,7716,0.671,17,11267.38,11267.38,10000,1267.38,0,0,2012-04-01,3426.03,1267.38
538907,0,1999-11-01,0,17466,0.704,11,11743.62,11743.62,10000,1743.62,0,0,2013-07-01,335.6,1743.62
539834,0,2000-07-01,0,14636,0.687,21,11794.95,11735.97,10000,1794.95,0,0,2012-03-01,5310.52,1794.95
544356,0,1999-08-01,0,26868,0.736,16,11934.04,11874.37,10000,1934.04,0,0,2013-07-01,361.34,1934.04
548609,0,1993-09-01,0,19049,0.43,28,13722.59,13585.36,10000,3722.59,0,0,2015-08-01,242.16,3722.59
550841,0,2001-07-01,0,12970,0.216,21,10770.93,10770.93,10000,770.93,0,0,2011-11-01,6434.16,770.93
552058,0,2000-06-01,0,53193,0.176,36,11242.75,11017.89,10000,1242.75,0,0,2013-06-01,285.68,1242.75
556570,0,2000-08-01,0,3284,0.099,19,11200.14,10353.97,10000,1200.14,0,0,2013-08-01,336.28,1200.14
562203,0,1994-02-01,0,11451,0.479,30,10554.77,10528.39,10000,554.77,0,0,2011-07-01,18.28,554.77
566286,0,2005-01-01,0,4283,0.357,14,10640.74,10614.13,10000,640.74,0,0,2012-01-01,101.41,640.74
568668,0,1999-05-01,0,16676,0.855,24,11733.86,11675.19,10000,1733.86,0,0,2012-04-01,5599.21,1733.86
569877,0,2004-05-01,0,3953,0.434,12,12970.76,12905.37,10000,2970.76,0,0,2015-09-01,221.34,2970.76
577143,0,1991-01-01,0,17846,0.552,23,11681.62,11681.62,10000,1681.62,0,0,2013-09-01,335.96,1681.62
579903,0,2006-12-01,0,6321,0.771,5,12227.22,12227.22,10000,2227.22,0,0,2012-11-01,3600.65,2227.22
581779,0,1996-12-01,0,3009,0.091,22,11134.26,11134.26,10000,1134.26,0,0,2013-08-01,938.33,1134.26
582876,0,1993-07-01,0,5,0,20,11200.13,11200.13,10000,1200.13,0,0,2013-10-01,348.37,1200.13
583942,0,2003-08-01,0,234,0.01,16,11680.98,11680.98,10000,1680.98,0,0,2013-10-01,329.79,1680.98
584107,0,2007-02-01,0,5843,0.183,7,11806.81,11806.81,10000,1806.81,0,0,2013-10-01,346.76,1806.81
